epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.834,1.2116,3.09271,0.00649,0.84837,0.74814,0.83976,0.56212,1.2927,0.93046,0.00875,0.000665109,0.000665109,0.000665109
2,256.938,1.30498,0.86204,0.00762,0.94926,0.81033,0.9075,0.6025,1.31492,0.62572,0.00952,0.00131859,0.00131859,0.00131859
3,371.8,1.29062,0.70165,0.00733,0.88015,0.85876,0.90268,0.57021,1.34458,0.66159,0.00945,0.00195887,0.00195887,0.00195887
4,487.112,1.29632,0.68784,0.00739,0.92086,0.77966,0.88171,0.62345,1.19028,0.68592,0.00852,0.0019406,0.0019406,0.0019406
5,603.169,1.30254,0.6659,0.00723,0.92679,0.80979,0.87937,0.59191,1.26242,0.69847,0.00899,0.0019208,0.0019208,0.0019208
6,718.85,1.26382,0.60434,0.00724,0.93605,0.827,0.89508,0.59175,1.28273,0.73934,0.00929,0.001901,0.001901,0.001901
7,834.175,1.22391,0.60263,0.00681,0.89123,0.83324,0.90363,0.6211,1.21289,0.61881,0.00878,0.0018812,0.0018812,0.0018812
8,949.964,1.24141,0.61207,0.00692,0.9167,0.829,0.90316,0.62834,1.14832,0.65627,0.00791,0.0018614,0.0018614,0.0018614
9,1065.45,1.23431,0.6414,0.0069,0.93339,0.8444,0.91063,0.61694,1.25292,0.59672,0.00886,0.0018416,0.0018416,0.0018416
10,1181.88,1.17676,0.55974,0.00659,0.95412,0.86166,0.92507,0.63075,1.23011,0.51675,0.00874,0.0018218,0.0018218,0.0018218
11,1297.91,1.19005,0.53214,0.00632,0.94595,0.85688,0.92716,0.64087,1.17958,0.58407,0.00801,0.001802,0.001802,0.001802
12,1414.04,1.14831,0.52034,0.00625,0.93657,0.87947,0.92967,0.66349,1.11478,0.54756,0.00747,0.0017822,0.0017822,0.0017822
13,1529.34,1.18878,0.51719,0.00642,0.97163,0.8384,0.92595,0.64466,1.15423,0.54023,0.00801,0.0017624,0.0017624,0.0017624
14,1645.6,1.12031,0.4954,0.00606,0.9221,0.86441,0.89883,0.64213,1.14038,0.65038,0.00791,0.0017426,0.0017426,0.0017426
15,1761.26,1.12677,0.4927,0.00612,0.95843,0.87194,0.92718,0.6464,1.18341,0.54661,0.00809,0.0017228,0.0017228,0.0017228
16,1877,1.1574,0.50502,0.00627,0.95789,0.85675,0.9149,0.64586,1.14321,0.61302,0.00808,0.001703,0.001703,0.001703
